Economy (GDP per Capita),Health (Life Expectancy),Happiness Score
1.39651,0.94143,7.587
1.30232,0.94784,7.561
1.32548,0.87464,7.527
1.459,0.88521,7.522
1.32629,0.90563,7.427
1.29025,0.88911,7.406
1.32944,0.89284,7.378
1.33171,0.91087,7.364
1.25018,0.90837,7.286
1.33358,0.93156,7.284
1.22857,0.91387,7.278
0.95578,0.86027,7.226
1.33723,0.89042,7.2
1.02054,0.81444,7.187
1.39451,0.86179,7.119
0.98124,0.69702,6.983
1.56391,0.91894,6.946
1.33596,0.89533,6.94
1.30782,0.89667,6.937
1.42727,0.80925,6.901
1.26637,0.90943,6.867
1.36011,0.76276,6.853
1.04424,0.72052,6.81
1.52186,1.02525,6.798
1.06353,0.79661,6.786
1.32792,0.89186,6.75
1.10715,0.85857,6.67
1.69042,0.79733,6.611
1.27778,0.94579,6.575
1.05351,0.78723,6.574
1.17898,0.84483,6.505
1.06166,0.8116,6.485
0.91861,0.69077,6.477
0.9669,0.7385,6.455
1.39541,0.72025,6.411
1.23011,0.95562,6.329
1.2074,0.88721,6.302
1.29098,0.8753,6.298
1.55422,0.72492,6.295
0.99534,0.6082,6.269
1.21183,0.61483,6.168
0.76454,0.67737,6.13
0.74553,0.64425,6.123
0.63244,0.59772,6.003
1.16891,0.78902,5.995
1.27074,0.99111,5.987
1.24461,0.96538,5.984
0.86402,0.79075,5.975
1.32376,0.74716,5.96
1.25114,0.95446,5.948
0.68133,0.5392,5.89
0.59448,0.61826,5.889
0.75985,0.66098,5.878
1.12254,0.64368,5.855
1.18498,0.87337,5.848
1.14723,0.73128,5.833
0.59325,0.74314,5.828
0.90019,0.73017,5.824
1.03192,0.73608,5.813
1.12555,0.77903,5.791
1.12486,0.72394,5.77
1.08254,0.78805,5.759
1.13145,0.7038,5.754
1.13764,0.66926,5.716
0.81038,0.68741,5.709
1.20806,0.92356,5.695
1.20813,0.92356,5.689
0.93929,0.61766,5.605
0.80148,0.63132,5.589
0.95847,0.53886,5.548
1.00761,0.7095,5.477
1.38604,1.01328,5.474
1.15174,0.77361,5.429
0.82827,0.63793,5.399
0.63216,0.74676,5.36
1.06098,0.73172,5.332
0.47428,0.65088,5.286
0.65435,0.16007,5.268
0.77042,0.57407,5.253
1.02389,0.64045,5.212
0.59543,0.51466,5.194
0.90198,0.69639,5.192
0.97438,0.72521,5.192
0.89012,0.81658,5.14
0.47038,0.29924,5.129
1.04345,0.7689,5.124
0.92053,0.74836,5.123
